Date	Max Temp (C)	Min Temp (C)	Mean Temp (C)	Total Rain (mm)	Total Snow (cm)	pais	region	detalle	nota
24/2/2014	-4.3	-10.6	-7.5	0	0.2	Argentina	Sudamerica	PPP	sin observaciones
25/2/2014	-9	-12.9	-11	0	0	Argentina	Sudamerica	OOO	sin observaciones
26/2/2014	-9.7	-14.8	-12.3	0	1.6	Argentina	Sudamerica	KKK	sin observaciones
27/2/2014	-6.9	-14.8	-10.9	0	0.4	Argentina	Sudamerica	HHH	sin observaciones
28/2/2014	-12.1	-18.2	-15.2	0	0	Argentina	Sudamerica	YYY	sin observaciones
1/3/2014	-3.4	-14.2	-8.8	0	2	Argentina	Sudamerica		sin observaciones
2/3/2014	-5.5	-16.6	-11.1	0	0.6	Argentina	Sudamerica	TTT	sin observaciones
3/3/2014	-13	-18.1	-15.6	0	0	Argentina	Sudamerica	RRR	sin observaciones
4/3/2014	-11	-18.5	-14.8	0	1.4	Argentina	Sudamerica	JJJ	sin observaciones
5/3/2014	-9	-17.6	-13.3	0	0	Argentina	Sudamerica	WWW	sin observaciones
6/3/2014	-6.9	-19.4	-13.2	0	0	Argentina	Sudamerica	QQQ	sin observaciones
7/3/2014	0.2	-17.8	-8.8	0	0	Argentina	Sudamerica	NNN	sin observaciones
8/3/2014	3.3	-6.2	-1.5	0	0.8	Argentina	Sudamerica	NNN	sin observaciones
9/3/2014	-3.8	-12.6	-8.2	0	3	Argentina	Sudamerica	NNN	sin observaciones
10/3/2014	0.7	-5.4	-2.4	0	4	Argentina	Sudamerica	AAA	sin observaciones
11/3/2014	5.2	0.2	2.7	0	0	Argentina	Sudamerica	AAA	sin observaciones
12/3/2014	1.7	-11.9	-5.1	0	16.6	Argentina	Sudamerica	AAA	sin observaciones
13/3/2014	-6.7	-15.6	-11.2	0	2.4	Argentina	Sudamerica	BBB	sin observaciones
14/3/2014	2.1	-16.7	-7.3	0	0	Argentina	Sudamerica	BBB	sin observaciones
15/3/2014	4.6	-8.4	-1.9	0.2	0.2	Argentina	Sudamerica	BBB	sin observaciones
16/3/2014	-8.4	-14.1	-11.3	0	0	Argentina	Sudamerica	CCC	sin observaciones
17/3/2014	-6.8	-16.8	-11.8	0	0	Argentina	Sudamerica	CCC	sin observaciones
18/3/2014	-2.1	-13.8	-8	0	0	Argentina	Sudamerica	CCC	sin observaciones
19/3/2014	3.2	-9	-2.9	1.4	0.4	Argentina	Sudamerica	DDD	sin observaciones
20/3/2014	2.9	-0.3	1.3	2.4	0.2	Argentina	Sudamerica	DDD	sin observaciones
21/3/2014	2.5	-3	-0.3	0	0.2	Argentina	Sudamerica	EEE	sin observaciones
22/3/2014	0.6	-3.8	-1.6	0	9.6	Argentina	Sudamerica	EEE	sin observaciones
23/3/2014	0	-13.6	-6.8	0	0	Argentina	Sudamerica	FFF	sin observaciones
24/3/2014	-4.7	-16.5	-10.6	0	0	Argentina	Sudamerica	FFF	sin observaciones
25/3/2014	-0.6	-11.7	-6.2	0	0	Argentina	Sudamerica		sin observaciones
26/3/2014	-2.4	-10.4	-6.4	0	0	Argentina	Sudamerica	GGG	sin observaciones
27/3/2014	-1.6	-13.1	-7.4	0	0.2	Argentina	Sudamerica	GGG	sin observaciones
28/3/2014	4.1	-2.7	0.7	9.2	4.2	Argentina	Sudamerica	ZZZ	sin observaciones
29/3/2014	3.2	0.5	1.9	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
30/3/2014	0.5	-1.4	-0.5	0	15.2	Argentina	Sudamerica	PPP	sin observaciones
31/3/2014	6.2	-1.8	2.2	0	0	Argentina	Sudamerica	OOO	sin observaciones
1/4/2014	5	-3.5	0.8	0	0	Argentina	Sudamerica	KKK	sin observaciones
2/4/2014	5	1.2	3.1	0	0	Argentina	Sudamerica	HHH	sin observaciones
3/4/2014	2.9	-2.2	0.4	0	0	Argentina	Sudamerica	YYY	sin observaciones
4/4/2014	7	-3.4	1.8	16.8	0	Argentina	Sudamerica		sin observaciones
5/4/2014	4.7	0.4	2.6	1.2	0	Argentina	Sudamerica	TTT	sin observaciones
6/4/2014	7.1	-1.2	3	0	0	Argentina	Sudamerica	RRR	sin observaciones
7/4/2014	13	-0.1	6.5	6.4	0	Argentina	Sudamerica	JJJ	sin observaciones
8/4/2014	5.2	2.6	3.9	22.6	0	Argentina	Sudamerica	WWW	sin observaciones
9/4/2014	4.8	-0.9	2	0	0	Argentina	Sudamerica	QQQ	sin observaciones
10/4/2014	16.2	-1.6	7.3	4	0	Argentina	Sudamerica	NNN	sin observaciones
11/4/2014	11.8	2.9	7.4	0	0	Argentina	Sudamerica	NNN	sin observaciones
12/4/2014	14.3	1.5	7.9	0	0	Argentina	Sudamerica	NNN	sin observaciones
13/4/2014	11.7	2.6	7.2	8.2	0	Argentina	Sudamerica	AAA	sin observaciones
14/4/2014	24.5	2.2	13.4	9	0	Argentina	Sudamerica	AAA	sin observaciones
15/4/2014	16.2	-5.1	5.6	8.6	0.4	Argentina	Sudamerica	AAA	sin observaciones
16/4/2014	0.6	-7.3	-3.4	0	0	Argentina	Sudamerica	BBB	sin observaciones
17/4/2014	7.7	-2.9	2.4	0	0	Argentina	Sudamerica	BBB	sin observaciones
18/4/2014	10.8	1.7	6.3	0	0	Argentina	Sudamerica	BBB	sin observaciones
19/4/2014	10.6	0.9	5.8	0.4	0	Argentina	Sudamerica	CCC	sin observaciones
20/4/2014	14.1	-2.6	5.8	0	0	Argentina	Sudamerica	CCC	sin observaciones
21/4/2014	19.2	7.4	13.3	1.2	0	Argentina	Sudamerica	CCC	sin observaciones
22/4/2014	12.7	7	9.9	10.4	0	Argentina	Sudamerica	DDD	sin observaciones
23/4/2014	11.8	3.6	7.7	0	0	Argentina	Sudamerica	DDD	sin observaciones
24/4/2014	13.2	1.4	7.3	0	0	Argentina	Sudamerica	EEE	sin observaciones
25/4/2014	11.9	-0.3	5.8	0	0	Argentina	Sudamerica	EEE	sin observaciones
26/4/2014	8.4	2.8	5.6	11.4	0	Argentina	Sudamerica	FFF	sin observaciones
27/4/2014	10.4	2.3	6.4	2	0	Argentina	Sudamerica	FFF	sin observaciones
28/4/2014	12.3	1.8	7.1	0	0	Argentina	Sudamerica		sin observaciones
29/4/2014	16.5	5.7	11.1	2.8	0	Argentina	Sudamerica	GGG	sin observaciones
30/4/2014	10.6	5.1	7.9	30.8	0	Argentina	Sudamerica	GGG	sin observaciones
1/5/2014	16.1	6.1	11.1	8.2	0	Argentina	Sudamerica	ZZZ	sin observaciones
2/5/2014	13	8.1	10.6	0.6	0	Argentina	Sudamerica	ZZZ	sin observaciones
3/5/2014	16.3	7.9	12.1	0.8	0	Argentina	Sudamerica	PPP	sin observaciones
4/5/2014	12	7.3	9.7	19.4	0	Argentina	Sudamerica	OOO	sin observaciones
5/5/2014	13.4	6.3	9.9	0	0	Argentina	Sudamerica	KKK	sin observaciones
6/5/2014	15	4.2	9.6	0	0	Argentina	Sudamerica	HHH	sin observaciones
7/5/2014	15.8	3.2	9.5	0	0	Argentina	Sudamerica	YYY	sin observaciones
8/5/2014	16.8	5.2	11	0	0	Argentina	Sudamerica		sin observaciones
9/5/2014	20.8	8.8	14.8	4.2	0	Argentina	Sudamerica	TTT	sin observaciones
10/5/2014	23.8	11.9	17.9	4.4	0	Argentina	Sudamerica	RRR	sin observaciones
11/5/2014	21.9	11.4	16.7	0	0	Argentina	Sudamerica	JJJ	sin observaciones
12/5/2014	22.4	9.1	15.8	0	0	Argentina	Sudamerica	WWW	sin observaciones
13/5/2014	18.4	8.3	13.4	1.4	0	Argentina	Sudamerica	QQQ	sin observaciones
14/5/2014	24.9	13.6	19.3	0	0	Argentina	Sudamerica	NNN	sin observaciones
15/5/2014	28.2	17.5	22.9	0	0	Argentina	Sudamerica	NNN	sin observaciones
16/5/2014	22.2	10.3	16.3	29.8	0	Argentina	Sudamerica	NNN	sin observaciones
17/5/2014	15.4	8.3	11.9	10.8	0	Argentina	Sudamerica	AAA	sin observaciones
18/5/2014	16.6	6.3	11.5	0	0	Argentina	Sudamerica	AAA	sin observaciones
19/5/2014	20.2	9.2	14.7	0	0	Argentina	Sudamerica	AAA	sin observaciones
20/5/2014	22.8	8.7	15.8	0	0	Argentina	Sudamerica	BBB	sin observaciones
21/5/2014	23.8	10.4	17.1	0	0	Argentina	Sudamerica	BBB	sin observaciones
22/5/2014	19	12.9	16	1	0	Argentina	Sudamerica	BBB	sin observaciones
23/5/2014	20.8	10.8	15.8	0	0	Argentina	Sudamerica	CCC	sin observaciones
24/5/2014	21.4	11.4	16.4	0	0	Argentina	Sudamerica	CCC	sin observaciones
25/5/2014	25.2	9.4	17.3	4.6	0	Argentina	Sudamerica	CCC	sin observaciones
26/5/2014	22.8	16.3	19.6	3.6	0	Argentina	Sudamerica	DDD	sin observaciones
27/5/2014	16.9	8.6	12.8	4.2	0	Argentina	Sudamerica	DDD	sin observaciones
28/5/2014	16.1	8.1	12.1	0.6	0	Argentina	Sudamerica	EEE	sin observaciones
29/5/2014	20.5	6.1	13.3	0	0	Argentina	Sudamerica	EEE	sin observaciones
30/5/2014	22.6	12	17.3	2	0	Argentina	Sudamerica	FFF	sin observaciones
31/5/2014	20.2	9.1	14.7	0	0	Argentina	Sudamerica	FFF	sin observaciones
1/6/2014	25.2	9.7	17.5	0	0	Argentina	Sudamerica		sin observaciones
2/6/2014	30.4	15.7	23.1	0	0	Argentina	Sudamerica	GGG	sin observaciones
3/6/2014	28.1	19.1	23.6	22	0	Argentina	Sudamerica	GGG	sin observaciones
4/6/2014	21.3	14	17.7	0.2	0	Argentina	Sudamerica	ZZZ	sin observaciones
5/6/2014	17	13.4	15.2	0.6	0	Argentina	Sudamerica	ZZZ	sin observaciones
6/6/2014	23	12.9	18	0	0	Argentina	Sudamerica	PPP	sin observaciones
7/6/2014	27.5	13.3	20.4	0	0	Argentina	Sudamerica	OOO	sin observaciones
8/6/2014	28	14.6	21.3	0	0	Argentina	Sudamerica	KKK	sin observaciones
9/6/2014	27.9	19.2	23.6	0	0	Argentina	Sudamerica	HHH	sin observaciones
10/6/2014	24.6	15.8	20.2	0.4	0	Argentina	Sudamerica	YYY	sin observaciones
11/6/2014	24.1	13.1	18.6	10.4	0	Argentina	Sudamerica		sin observaciones
12/6/2014	17.9	12.9	15.4	26.2	0	Argentina	Sudamerica	TTT	sin observaciones
13/6/2014	19.9	16.8	18.4	41.4	0	Argentina	Sudamerica	RRR	sin observaciones
14/6/2014	19.8	14.6	17.2	1.4	0	Argentina	Sudamerica	JJJ	sin observaciones
15/6/2014	23.6	13.6	18.6	0	0	Argentina	Sudamerica	WWW	sin observaciones
16/6/2014	24.8	11.4	18.1	0	0	Argentina	Sudamerica	QQQ	sin observaciones
17/6/2014	27.2	14	20.6	23.4	0	Argentina	Sudamerica	NNN	sin observaciones
18/6/2014	25.7	16.6	21.2	2	0	Argentina	Sudamerica	NNN	sin observaciones
19/6/2014	24.6	14.6	19.6	0	0	Argentina	Sudamerica	NNN	sin observaciones
20/6/2014	21.7	12.1	16.9	0	0	Argentina	Sudamerica	AAA	sin observaciones
21/6/2014	22.1	10.4	16.3	0	0	Argentina	Sudamerica	AAA	sin observaciones
22/6/2014	23.8	11.5	17.7	0	0	Argentina	Sudamerica	AAA	sin observaciones
23/6/2014	26.8	13.4	20.1	0	0	Argentina	Sudamerica	BBB	sin observaciones
24/6/2014	21.9	19.2	20.6	40	0	Argentina	Sudamerica	BBB	sin observaciones
25/6/2014	24	18.2	21.1	0.2	0	Argentina	Sudamerica	BBB	sin observaciones
26/6/2014	26.3	17	21.7	0	0	Argentina	Sudamerica	CCC	sin observaciones
27/6/2014	28.4	15	21.7	0	0	Argentina	Sudamerica	CCC	sin observaciones
28/6/2014	29.2	16.3	22.8	0	0	Argentina	Sudamerica	CCC	sin observaciones
29/6/2014	30.7	19.1	24.9	0	0	Argentina	Sudamerica	DDD	sin observaciones
30/6/2014	29.7	22.8	26.3	0	0	Argentina	Sudamerica	DDD	sin observaciones
1/7/2014	33.2	21.6	27.4	0	0	Argentina	Sudamerica	EEE	sin observaciones
2/7/2014	29.8	21.2	25.5	0	0	Argentina	Sudamerica	EEE	sin observaciones
3/7/2014	24.4	18.9	21.7	0.6	0	Argentina	Sudamerica	FFF	sin observaciones
4/7/2014	23.4	16	19.7	3.2	0	Argentina	Sudamerica	FFF	sin observaciones
5/7/2014	27.7	14.5	21.1	0	0	Argentina	Sudamerica		sin observaciones
6/7/2014	27.7	18.7	23.2	0	0	Argentina	Sudamerica	GGG	sin observaciones
7/7/2014	23.4	19.5	21.5	10	0	Argentina	Sudamerica	GGG	sin observaciones
8/7/2014	30.6	19	24.8	7	0	Argentina	Sudamerica	ZZZ	sin observaciones
9/7/2014	23.5	17.7	20.6	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
10/7/2014	23.1	14.3	18.7	0	0	Argentina	Sudamerica	PPP	sin observaciones
11/7/2014	25.4	13.4	19.4	0	0	Argentina	Sudamerica	OOO	sin observaciones
12/7/2014	27.4	16	21.7	0	0	Argentina	Sudamerica	KKK	sin observaciones
13/7/2014	23.9	19.6	21.8	11	0	Argentina	Sudamerica	HHH	sin observaciones
14/7/2014	24.1	17.6	20.9	0	0	Argentina	Sudamerica	YYY	sin observaciones
15/7/2014	21.9	17.6	19.8	2.8	0	Argentina	Sudamerica		sin observaciones
16/7/2014	24.8	16.6	20.7	0	0	Argentina	Sudamerica	TTT	sin observaciones
17/7/2014	23.4	14	18.7	0.2	0	Argentina	Sudamerica	RRR	sin observaciones
18/7/2014	26.2	14	20.1	0	0	Argentina	Sudamerica	JJJ	sin observaciones
19/7/2014	27.5	16.5	22	0	0	Argentina	Sudamerica	WWW	sin observaciones
20/7/2014	28	18.9	23.5	0	0	Argentina	Sudamerica	QQQ	sin observaciones
21/7/2014	29.4	20.8	25.1	0	0	Argentina	Sudamerica	NNN	sin observaciones
22/7/2014	29.7	20.5	25.1	0	0	Argentina	Sudamerica	NNN	sin observaciones
23/7/2014	26.4	17.7	22.1	11.4	0	Argentina	Sudamerica	NNN	sin observaciones
24/7/2014	22.9	13.8	18.4	0	0	Argentina	Sudamerica	AAA	sin observaciones
25/7/2014	25.8	14.7	20.3	0	0	Argentina	Sudamerica	AAA	sin observaciones
26/7/2014	26	15.9	21	0.2	0	Argentina	Sudamerica	AAA	sin observaciones
27/7/2014	25	18	21.5	10.2	0	Argentina	Sudamerica	BBB	sin observaciones
28/7/2014	18.5	14.2	16.4	9.8	0	Argentina	Sudamerica	BBB	sin observaciones
29/7/2014	21.3	12	16.7	0	0	Argentina	Sudamerica	BBB	sin observaciones
30/7/2014	24	13.8	18.9	0.8	0	Argentina	Sudamerica	CCC	sin observaciones
31/7/2014	21.8	14.3	18.1	12.8	0	Argentina	Sudamerica	CCC	sin observaciones
1/8/2014	26.1	14.8	20.5	0	0	Argentina	Sudamerica	CCC	sin observaciones
2/8/2014	27.8	16.1	22	0	0	Argentina	Sudamerica	DDD	sin observaciones
3/8/2014	28	16.6	22.3	0	0	Argentina	Sudamerica	DDD	sin observaciones
4/8/2014	27.7	18.3	23	0.6	0	Argentina	Sudamerica	EEE	sin observaciones
5/8/2014	25.4	17.7	21.6	1.6	0	Argentina	Sudamerica	EEE	sin observaciones
6/8/2014	25.6	14.9	20.3	0	0	Argentina	Sudamerica	FFF	sin observaciones
7/8/2014	23.1	15.9	19.5	6.2	0	Argentina	Sudamerica	FFF	sin observaciones
8/8/2014	27	14	20.5	0	0	Argentina	Sudamerica		sin observaciones
9/8/2014	28.7	15.4	22.1	0	0	Argentina	Sudamerica	GGG	sin observaciones
10/8/2014	28.6	16.6	22.6	0	0	Argentina	Sudamerica	GGG	sin observaciones
11/8/2014	29.7	17.8	23.8	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
12/8/2014	27.9	19.1	23.5	2.2	0	Argentina	Sudamerica	ZZZ	sin observaciones
13/8/2014	21.1	16	18.6	44.4	0	Argentina	Sudamerica	PPP	sin observaciones
14/8/2014	17.6	12	14.8	0	0	Argentina	Sudamerica	OOO	sin observaciones
15/8/2014	17.5	12.2	14.9	5.2	0	Argentina	Sudamerica	KKK	sin observaciones
16/8/2014	18.5	14.6	16.6	13.2	0	Argentina	Sudamerica	HHH	sin observaciones
17/8/2014	22.8	14.6	18.7	0	0	Argentina	Sudamerica	YYY	sin observaciones
18/8/2014	22.2	11.7	17	0	0	Argentina	Sudamerica		sin observaciones
19/8/2014	23.5	10.6	17.1	0	0	Argentina	Sudamerica	TTT	sin observaciones
20/8/2014	27.3	12.8	20.1	0	0	Argentina	Sudamerica	RRR	sin observaciones
21/8/2014	23.1	17.9	20.5	0	0	Argentina	Sudamerica	JJJ	sin observaciones
22/8/2014	23.8	17.3	20.6	0	0	Argentina	Sudamerica	WWW	sin observaciones
23/8/2014	26	14.7	20.4	0	0	Argentina	Sudamerica	QQQ	sin observaciones
24/8/2014	27.7	14.5	21.1	0	0	Argentina	Sudamerica	NNN	sin observaciones
25/8/2014	28.9	17.6	23.3	0	0	Argentina	Sudamerica	NNN	sin observaciones
26/8/2014	28.6	17	22.8	0.4	0	Argentina	Sudamerica	NNN	sin observaciones
27/8/2014	25.6	18.4	22	0	0	Argentina	Sudamerica	AAA	sin observaciones
28/8/2014	21.9	14.2	18.1	0	0	Argentina	Sudamerica	AAA	sin observaciones
29/8/2014	22.6	11.4	17	0	0	Argentina	Sudamerica	AAA	sin observaciones
30/8/2014	27.3	16.7	22	0.2	0	Argentina	Sudamerica	BBB	sin observaciones
31/8/2014	25.3	19.8	22.6	11.2	0	Argentina	Sudamerica	BBB	sin observaciones
1/9/2014	25.9	18.7	22.3	0	0	Argentina	Sudamerica	BBB	sin observaciones
2/9/2014	28.6	18.3	23.5	4.4	0	Argentina	Sudamerica	CCC	sin observaciones
3/9/2014	25.5	18	21.8	0	0	Argentina	Sudamerica	CCC	sin observaciones
4/9/2014	27.7	16.3	22	0.4	0	Argentina	Sudamerica	CCC	sin observaciones
5/9/2014	30.8	20.1	25.5	3	0	Argentina	Sudamerica	DDD	sin observaciones
6/9/2014	23.2	10.6	16.9	5	0	Argentina	Sudamerica	DDD	sin observaciones
7/9/2014	22.1	10.6	16.4	0	0	Argentina	Sudamerica	EEE	sin observaciones
8/9/2014	24.7	11.4	18.1	0	0	Argentina	Sudamerica	EEE	sin observaciones
9/9/2014	23.1	14.3	18.7	0	0	Argentina	Sudamerica	FFF	sin observaciones
10/9/2014	24.8	14.6	19.7	0	0	Argentina	Sudamerica	FFF	sin observaciones
11/9/2014	25.1	10.1	17.6	7.2	0	Argentina	Sudamerica		sin observaciones
12/9/2014	14.1	6.1	10.1	0	0	Argentina	Sudamerica	GGG	sin observaciones
13/9/2014	12.6	5.9	9.3	19	0	Argentina	Sudamerica	GGG	sin observaciones
14/9/2014	10.9	4.6	7.8	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
15/9/2014	18.3	4.8	11.6	0.2	0	Argentina	Sudamerica	ZZZ	sin observaciones
16/9/2014	18.6	9.3	14	0.4	0	Argentina	Sudamerica	PPP	sin observaciones
17/9/2014	17.2	8	12.6	2.6	0	Argentina	Sudamerica	OOO	sin observaciones
18/9/2014	12.4	3.4	7.9	0.2	0	Argentina	Sudamerica	KKK	sin observaciones
19/9/2014	13	1.2	7.1	0	0	Argentina	Sudamerica	HHH	sin observaciones
20/9/2014	19.8	9.2	14.5	0.2	0	Argentina	Sudamerica	YYY	sin observaciones
21/9/2014	23.2	14	18.6	6.2	0	Argentina	Sudamerica		sin observaciones
22/9/2014	14	6.9	10.5	0	0	Argentina	Sudamerica	TTT	sin observaciones
23/9/2014	17.2	7.3	12.3	1.2	0	Argentina	Sudamerica	RRR	sin observaciones
24/9/2014	21.8	6.7	14.3	0	0	Argentina	Sudamerica	JJJ	sin observaciones
25/9/2014	22.8	10.8	16.8	0	0	Argentina	Sudamerica	WWW	sin observaciones
26/9/2014	25.5	11.9	18.7	0	0	Argentina	Sudamerica	QQQ	sin observaciones
27/9/2014	25.5	12.8	19.2	0	0	Argentina	Sudamerica	NNN	sin observaciones
28/9/2014	24.8	14.8	19.8	0	0	Argentina	Sudamerica	NNN	sin observaciones
29/9/2014	18	8.7	13.4	0	0	Argentina	Sudamerica	NNN	sin observaciones
30/9/2014	17.3	9.3	13.3	0	0	Argentina	Sudamerica	AAA	sin observaciones
1/10/2014	16.6	10.4	13.5	0	0	Argentina	Sudamerica	AAA	sin observaciones
2/10/2014	20.3	8.7	14.5	0	0	Argentina	Sudamerica	AAA	sin observaciones
3/10/2014	23.1	8.8	16	0	0	Argentina	Sudamerica	BBB	sin observaciones
4/10/2014	16.6	9.8	13.2	23.6	0	Argentina	Sudamerica	BBB	sin observaciones
5/10/2014	13.7	7.9	10.8	0	0	Argentina	Sudamerica	BBB	sin observaciones
6/10/2014	16.3	8	12.2	0.4	0	Argentina	Sudamerica	CCC	sin observaciones
7/10/2014	18.2	11.9	15.1	4	0	Argentina	Sudamerica	CCC	sin observaciones
8/10/2014	17.5	8.7	13.1	19.8	0	Argentina	Sudamerica	CCC	sin observaciones
9/10/2014	12.5	5.2	8.9	0.8	0	Argentina	Sudamerica	DDD	sin observaciones
10/10/2014	11.8	4.6	8.2	0	0	Argentina	Sudamerica	DDD	sin observaciones
11/10/2014	13.1	2.6	7.9	0	0	Argentina	Sudamerica	EEE	sin observaciones
12/10/2014	13.2	2.6	7.9	0	0	Argentina	Sudamerica	EEE	sin observaciones
13/10/2014	17.8	2.2	10	0	0	Argentina	Sudamerica	FFF	sin observaciones
14/10/2014	24.8	13.7	19.3	0	0	Argentina	Sudamerica	FFF	sin observaciones
15/10/2014	23.6	18.2	20.9	6.4	0	Argentina	Sudamerica		sin observaciones
16/10/2014	21.7	14.6	18.2	7.6	0	Argentina	Sudamerica	GGG	sin observaciones
17/10/2014	18.4	14.3	16.4	0.4	0	Argentina	Sudamerica	GGG	sin observaciones
18/10/2014	16.9	5.9	11.4	1.4	0	Argentina	Sudamerica	ZZZ	sin observaciones
19/10/2014	7.5	3	5.3	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
20/10/2014	6.8	1.8	4.3	1.2	0	Argentina	Sudamerica	PPP	sin observaciones
21/10/2014	7.4	5.6	6.5	3	0	Argentina	Sudamerica	OOO	sin observaciones
22/10/2014	12.6	6	9.3	0	0	Argentina	Sudamerica	KKK	sin observaciones
